disaster_id,storm_name,year,month,day,location,deaths,affected,displaced,damage_usd_thousands,damage_usd_adj_thousands,decade,damage_usd,damage_usd_adj,damage_billions,storm_name_clean
2007-0380-PHL,Sepat,2007,8.0,17.0,"Region III (Central Luzon), Region IV-A (Calabarzon), Region V (Bicol region) provinces",3,380000,0,492.0,744.0,2000s,492000.0,744000.0,0.000492,Sepat
2007-0457-PHL,Wipha/Goring,2007,9.0,17.0,Negros Occidental district (Region VI (Western Visayas) province),2,30000,0,,,2000s,0.0,,0.0,Wipha/Goring
2007-0463-PHL,Lekima (Hanna),2007,9.0,29.0,"Ifugao, Kalinga districts (Cordillera Administrative region (CAR) province)",8,2000,0,,,2000s,0.0,,0.0,Lekima (Hanna)
2007-0560-PHL,Kabayan (Peipah),2007,11.0,4.0,"Isabela, Cagayan districts (Region II (Cagayan Valley) province)",8,33884,0,2971.0,4495.0,2000s,2971000.0,4495000.0,0.002971,Kabayan (Peipah)
2007-0576-PHL,Mitag (Mina) (23),2007,11.0,25.0,"Isabela district (Region II (Cagayan Valley) province), Camarines Sur, Camarines Norte districts (Region V (Bicol region) province)",29,443115,0,5000.0,7565.0,2000s,5000000.0,7565000.0,0.005,Mitag (Mina) (23)
2007-0578-PHL,Hagibis (Lando) (24),2007,11.0,18.0,"Region VII (Central Visayas), Region X (Northern Mindanao) provinces",20,35333,0,1000.0,1513.0,2000s,1000000.0,1513000.0,0.001,Hagibis (Lando) (24)
2007-0668-PHL,Goring,2007,9.0,18.0,"Region IV (Southern Tagalog), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",1,64000,0,,,2000s,0.0,,0.0,Goring
2008-0155-PHL,"Typhoon ""Neoguri"" (Ambo)",2008,4.0,13.0,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",1,0,0,16000.0,23311.0,2000s,16000000.0,23311000.0,0.016,"Typhoon ""Neoguri"" (Ambo)"
2008-0197-PHL,Halong (Cosme),2008,5.0,18.0,"Pangasinan, La Union districts (Region I (Ilocos region) province), Zambales district (Region III (Central Luzon) province)",64,1496668,0,99174.0,144493.0,2000s,99174000.0,144493000.0,0.099174,Halong (Cosme)
2008-0249-PHL,Typhoon Fengshen (Franck),2008,6.0,21.0,"Aklan, Antique, Capiz, Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Leyte, Eastern Samar, Samar districts (Region VIII (Eastern Visayas) province), Marinduque, Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Masbate district (Region V (Bicol region) province), North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province)",644,4785460,0,284694.0,414790.0,2000s,284694000.0,414790000.0,0.284694,Typhoon Fengshen (Franck)
